estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
NOVICIADO;38;40.424950553281505;-3.707424170313474;174.370;150.850;160.507;139.628;132.729;160.411;142.519;103.402;167.925;197.065;193.102;172.701
ESTRELLA;175;40.41158434565092;-3.6617900023489334;181.538;169.914;176.514;157.053;165.011;163.263;135.382;90.476;160.069;190.761;184.026;174.584
CAMPAMENTO;102;40.39589626707791;-3.768651982719783;168.906;166.402;182.282;162.152;171.648;161.709;144.883;112.447;161.787;189.377;181.591;171.398
USERA;109;40.38795952952184;-3.707294124757098;430.276;431.043;461.387;430.787;453.540;447.071;419.298;342.659;426.532;479.141;463.295;462.296
EL BERCIAL;230;40.3312370169548;-3.730737791874633;60.376;50.404;53.224;47.034;51.611;52.353;48.663;35.737;50.202;56.386;57.801;60.466
HOSPITAL 12 DE OCTUBRE;268;40.37606766579766;-3.696334831051624;161.497;164.010;177.605;159.867;167.192;166.660;153.339;115.084;158.547;190.572;180.254;161.610
ALMENDRALES;267;40.384966699675886;-3.6982855143972593;202.264;194.913;209.687;192.103;206.875;205.867;189.241;142.406;194.803;228.555;218.058;210.485
TRES OLIVOS;274;40.49970950058387;-3.69438414770599;84.168;83.877;90.000;79.255;83.846;83.263;71.159;44.080;81.528;97.126;88.775;79.804
PEÑAGRANDE;150;40.47506058928626;-3.7153096599591597;198.757;191.563;206.009;184.733;192.521;187.676;167.311;117.505;180.354;213.545;200.236;185.777
HERRERA ORIA;161;40.48357117327297;-3.706892165764664;150.697;149.702;159.209;139.275;146.803;144.743;116.831;67.853;133.097;163.623;152.617;137.450
ARGÜELLES;52;40.43070667440115;-3.7159362430944247;795.485;785.660;815.233;719.466;739.787;709.493;618.583;386.223;716.505;865.279;836.932;741.955
ARGÜELLES;54;40.430644875554776;-3.7159244207711177;795.485;785.660;815.233;719.466;739.787;709.493;618.583;386.223;716.505;865.279;836.932;741.955
ARGÜELLES;126;40.430574248301774;-3.7159244207711177;795.485;785.660;815.233;719.466;739.787;709.493;618.583;386.223;716.505;865.279;836.932;741.955
CALLAO;88;40.420280326176766;-3.705709933433977;881.623;858.772;928.693;864.937;911.763;810.901;767.615;619.968;792.172;885.299;932.322;1.042.608
CALLAO;49;40.42032446820989;-3.705709933433977;881.623;858.772;928.693;864.937;911.763;810.901;767.615;619.968;792.172;885.299;932.322;1.042.608
HORTALEZA;264;40.47415126340386;-3.6519301847109995;105.520;102.272;109.129;95.366;103.230;99.965;86.575;63.794;97.636;115.224;109.465;101.881
PITIS;154;40.493918065837725;-3.7251931222437085;56.262;56.986;59.461;49.283;50.262;47.622;43.913;27.540;44.519;53.803;49.666;42.603
PUERTA DE TOLEDO;91;40.40752327860332;-3.7112546030649014;168.372;167.109;175.200;156.489;160.400;157.636;136.132;101.487;160.149;191.844;180.814;161.557
LA MORALEJA;279;40.52950537294399;-3.634350389953675;119.381;116.490;125.258;109.492;116.084;113.422;97.469;62.065;107.836;127.467;118.342;97.274
FUENLABRADA CENTRAL;221;40.2862209715728;-3.8008559914077127;204.562;207.273;223.321;194.824;195.863;184.443;159.114;117.476;204.936;234.101;215.948;179.813
CARTAGENA;140;40.43895240618911;-3.671909911099619;129.614;129.766;138.834;126.008;128.746;127.400;114.293;72.489;123.823;145.733;138.433;118.771
PLAZA DE ESPAÑA;197;40.42422662393824;-3.7097177010350073;754.745;753.935;831.818;750.249;771.513;720.620;640.798;499.143;713.123;857.106;825.329;808.501
PLAZA DE ESPAÑA;50;40.423573321847975;-3.7112309584182874;754.745;753.935;831.818;750.249;771.513;720.620;640.798;499.143;713.123;857.106;825.329;808.501
