Titulo;Precio;m2;Telefono;Descripcion;Link;Direccion;Observaciones;
Calle Jorge Juan;1.800;126;;  ;https://belbex.com/detalles/calle-jorge-juan/uu5659/alquiler/;Calle Jorge JuanSalamanca, Madrid, 28001;Planta Baja;
Zona Puerta del Sol;40.000;1.430;;  ;https://belbex.com/detalles/zona-puerta-del-sol/dc9386/alquiler/;Zona Puerta del SolCentro, Madrid, 28012;Planta Baja;
Avenida Partenon, 10;5.950;180;;  ;https://belbex.com/detalles/avenida-partenon-10/mq4232/alquiler/;Avenida Partenón, 10Barajas, Madrid, 28042;Planta Baja;
Calle Anabel Segura, 7;Desde510;78   3.678;;  ;https://belbex.com/detalles/calle-anabel-segura-7/mt4605/alquiler/;Calle Anabel Segura, 7Alcobendas, Madrid, 28109;Plantas Sótano - Semisótano;
Calle Julian Camarillo, 19   21;3.370;293;;  ;https://belbex.com/detalles/calle-julian-camarillo-19-21/rr2358/alquiler/;Calle Julián Camarillo, 19 - 21San Blas - Canillejas, Madrid, 28037;Planta Baja;
Zona Sol;6.000;140;;  ;https://belbex.com/detalles/zona-sol/km6147/alquiler/;Zona SolCentro, Madrid, 28013;Planta Baja;
Calle Travesia del Arenal;3.000;152;;  ;https://belbex.com/detalles/calle-travesia-del-arenal/pt0324/alquiler/;Calle Travesía del ArenalCentro, Madrid, 28013;Planta Baja;
Paseo Doce Estrellas, 2;8.500;362;;  ;https://belbex.com/detalles/paseo-doce-estrellas-2/na2422/alquiler/;Paseo Doce Estrellas, 2Barajas, Madrid, 28042;Planta Baja;
Calle Arenal, 19;Precioaconsultar;136;;  ;https://belbex.com/detalles/calle-arenal-19/oa6741/alquiler/;Calle Arenal, 19Centro, Madrid, 28013;Planta Baja;
Calle Jorge Juan;6.500;160;;  ;https://belbex.com/detalles/calle-jorge-juan/zu0254/alquiler/;Calle Jorge JuanSalamanca, Madrid, 28001;Planta Baja;
Calle Juan Ignacio Luca de Tena, 1;8.400;600;;  ;https://belbex.com/detalles/calle-juan-ignacio-luca-de-tena-1/pn2735/alquiler/;Calle Juan Ignacio Luca de Tena, 1San Blas - Canillejas, Madrid, 28027;Planta Baja;
Calle Claudio Coello, 76;5.400;250;;  ;https://belbex.com/detalles/calle-claudio-coello-76/rk2926/alquiler/;Calle Claudio Coello, 76Salamanca, Madrid, 28001;Planta Semisótano;
Calle Velazquez;3.599;153;;  ;https://belbex.com/detalles/calle-velazquez/hx7089/alquiler/;Calle VelázquezSalamanca, Madrid, 28001;Planta Baja;
Edificio Cuzco IV, Paseo Castellana, 141;8.500;281;;  ;https://belbex.com/detalles/edificio-cuzco-iv-paseo-castellana-141/ni8115/alquiler/;Edificio Cuzco IV, Paseo Castellana, 141Tetuán, Madrid, 28046;Planta Baja;
Calle Maestro Victoria;4.000;142;;  ;https://belbex.com/detalles/calle-maestro-victoria/ak5533/alquiler/;Calle Maestro VictoriaCentro, Madrid, 28013;Planta Baja;
Calle Lagasca;8.500;144;;  ;https://belbex.com/detalles/calle-lagasca/bh0227/alquiler/;Calle LagascaSalamanca, Madrid, 28001;Planta Baja;
Calle Claudio Coello;4.500;118;;  ;https://belbex.com/detalles/calle-claudio-coello/cp6135/alquiler/;Calle Claudio CoelloSalamanca, Madrid, 28006;Planta Baja;
Calle Serrano;38.000;487;;  ;https://belbex.com/detalles/calle-serrano/dj8329/alquiler/;Calle SerranoSalamanca, Madrid, 28002;Planta Baja;
Calle Claudio Coello;5.000;75;;  ;https://belbex.com/detalles/calle-claudio-coello/sb2187/alquiler/;Calle Claudio CoelloSalamanca, Madrid, 28006;Planta Baja;
Calle Serrano;19.000;110;;  ;https://belbex.com/detalles/calle-serrano/wr0269/alquiler/;Calle SerranoSalamanca, Madrid, 28006;Planta Baja;
Zona Centro;12.000;140;;  ;https://belbex.com/detalles/zona-centro/ne6988/alquiler/;Zona CentroCentro, Madrid, 28013;Planta Baja;
Calle del Carmen, 16;10.000;279;;  ;https://belbex.com/detalles/calle-del-carmen-16/qd9753/alquiler/;Calle del Carmen, 16Centro, Madrid, 28013;Planta Baja;
Edificio Garay, Calle Gran Via;6.000;90;;  ;https://belbex.com/detalles/edificio-garay-calle-gran-via/xg2374/alquiler/;Edificio Garay, Calle Gran VíaCentro, Madrid, 28013;Planta Baja;
Discovery Building, Calle Estebanez Calderon, 3;8.880;370;;  ;https://belbex.com/detalles/discovery-building-calle-estebanez-calderon-3/mv3943/alquiler/;Discovery Building, Calle Estébanez Calderón, 3Tetuán, Madrid, 28020;Planta Baja;
Calle Serrano, 85;10.000;356;;  ;https://belbex.com/detalles/calle-serrano-85/vx5046/alquiler/;Calle Serrano, 85Salamanca, Madrid, 28006;Planta Baja;
Calle Gran Via, 46;10.000;69;;  ;https://belbex.com/detalles/calle-gran-via-46/hq7837/alquiler/;Calle Gran Vía, 46Centro, Madrid, 28013;Planta Baja;
Calle Alcala, 55;14.000;350;;  ;https://belbex.com/detalles/calle-alcala-55/yp6837/alquiler/;Calle Alcalá, 55Salamanca, Madrid, 28014;Planta Baja;
Calle Nunez De Balboa;3.500;55;;  ;https://belbex.com/detalles/calle-nunez-de-balboa/do1525/alquiler/;Calle Núñez De BalboaSalamanca, Madrid, 28001;Planta Baja;
Calle Goya, 28;4.500;100;;  ;https://belbex.com/detalles/calle-goya-28/su4954/alquiler/;Calle Goya, 28Salamanca, Madrid, 28001;Planta Baja;
Calle Gran Via, 49;20.000;600;;  ;https://belbex.com/detalles/calle-gran-via-49/aq1609/alquiler/;Calle Gran Vía, 49Centro, Madrid, 28013;Planta Baja;
Calle Lagasca;3.900;106;;  ;https://belbex.com/detalles/calle-lagasca/co1629/alquiler/;Calle LagascaSalamanca, Madrid, 28001;Planta Baja;
Torre Europa, Paseo Castellana, 95;18.913;556;;  ;https://belbex.com/detalles/torre-europa-paseo-castellana-95/sp8411/alquiler/;Torre Europa, Paseo Castellana, 95Tetuán, Madrid, 28046;Planta Sótano;
Calle Claudio Coello;2.800;40;;  ;https://belbex.com/detalles/calle-claudio-coello/tj7418/alquiler/;Calle Claudio CoelloSalamanca, Madrid, 28006;Planta Baja;
Zona Sol;15.000;220;;  ;https://belbex.com/detalles/zona-sol/nz1288/alquiler/;Zona SolCentro, Madrid, 28013;Planta Baja;
Calle Lagasca;5.900;165;;  ;https://belbex.com/detalles/calle-lagasca/zu4333/alquiler/;Calle LagascaSalamanca, Madrid, 28001;Planta Baja;
Calle Lagasca;7.500;150;;  ;https://belbex.com/detalles/calle-lagasca/it4565/alquiler/;Calle LagascaSalamanca, Madrid, 28001;Planta Baja;
Calle Gran Via, 54;16.000;202;;  ;https://belbex.com/detalles/calle-gran-via-54/md3414/alquiler/;Calle Gran Vía, 54Centro, Madrid, 28013;Planta Baja;
Calle Agustin de Foxa, 27;10.170;339;;  ;https://belbex.com/detalles/calle-agustin-de-foxa-27/bg3245/alquiler/;Calle Agustín de Foxá, 27Chamartín, Madrid, 28036;Planta Baja;
Calle Jorge Juan;4.000;61;;  ;https://belbex.com/detalles/calle-jorge-juan/it7136/alquiler/;Calle Jorge JuanSalamanca, Madrid, 28001;Planta Baja;
Zona Gran Via;10.000;210;;  ;https://belbex.com/detalles/zona-gran-via/ol0970/alquiler/;Zona Gran VíaCentro, Madrid, 28013;Planta Baja;
Zona Chueca;17.000;340;;  ;https://belbex.com/detalles/zona-chueca/sy1048/alquiler/;Zona ChuecaCentro, Madrid, 28004;Planta Baja;
Calle Claudio Coello;4.500;30;;  ;https://belbex.com/detalles/calle-claudio-coello/pk0571/alquiler/;Calle Claudio CoelloSalamanca, Madrid, 28001;Planta Baja;
Calle Julio Ferrer, 6;1.390;189;;  ;https://belbex.com/detalles/calle-julio-ferrer-6/oz4869/alquiler/;Calle Julio Ferrer, 6Pozuelo de Alarcón, Madrid, 28223;Planta Baja;
Calle Marques de Valdavia;1.750;152;;  ;https://belbex.com/detalles/calle-marques-de-valdavia/po8354/alquiler/;Calle Marqués de ValdaviaAlcobendas, Madrid, 28100;Planta Baja;
Calle Gertrudis Gomez de Avellaneda, 5;630;159;;  ;https://belbex.com/detalles/calle-gertrudis-gomez-de-avellaneda-5/rm6486/alquiler/;Calle Gertrudis Gómez de Avellaneda, 5Collado Villalba, Madrid, 28400;Planta Baja;
Carrera San Francisco, 7;1.230;155;;  ;https://belbex.com/detalles/carrera-san-francisco-7/sa7696/alquiler/;Carrera San Francisco, 7Centro, Madrid, 28005;Planta Sótano;
Calle Sierra Vieja, 60;1.340;146;;  ;https://belbex.com/detalles/calle-sierra-vieja-60/yx1887/alquiler/;Calle Sierra Vieja, 60Villa de Vallecas, Madrid, 28031;Planta Baja;
Calle Fuenlabrada, 6;3.040;448;;  ;https://belbex.com/detalles/calle-fuenlabrada-6/zn0922/alquiler/;Calle Fuenlabrada, 6Alcorcón, Madrid, 28921;Planta Baja;
Barrio Guindalera;11.183;611;;  ;https://belbex.com/detalles/barrio-guindalera/mq5707/alquiler/;Barrio GuindaleraSalamanca, Madrid, 28028;Planta Baja;
Calle Alcala, 500;1.050;65;;  ;https://belbex.com/detalles/calle-alcala-500/lk1599/alquiler/;Calle Alcalá, 500San Blas - Canillejas, Madrid, 28027;Planta Baja;
Calle del Capitan Blanco de Argibay;2.500;180;;  ;https://belbex.com/detalles/calle-del-capitan-blanco-de-argibay/hm7617/alquiler/;Calle del Capitán Blanco de ArgibayTetuán, Madrid, 28039;Planta Baja;
Calle de la Esgrima, 5;Precioaconsultar;92;;  ;https://belbex.com/detalles/calle-de-la-esgrima-5/jq1837/alquiler/;Calle de la Esgrima, 5Centro, Madrid, 28012;Planta Baja;
Calle de Agustina Aragon, 14;5.000;147;;  ;https://belbex.com/detalles/calle-de-agustina-aragon-14/xb4950/alquiler/;Calle de Agustina Aragón, 14Salamanca, Madrid, 28006;Planta Baja;
Calle Bardala;1.800;250;;  ;https://belbex.com/detalles/calle-bardala/sm5380/alquiler/;Calle BardalaTetuán, Madrid, 28029;Planta Baja;
Calle Conrado del Campo;500;70;;  ;https://belbex.com/detalles/calle-conrado-del-campo/kp9950/alquiler/;Calle Conrado del CampoSan Blas - Canillejas, Madrid, 28027;Planta Baja;
Calle Camino de Humanes, 9;1.350;188;;  ;https://belbex.com/detalles/calle-camino-de-humanes-9/wg8859/alquiler/;Calle Camino de Humanes, 9Móstoles, Madrid, 28938;Planta Baja;
Calle Madrid;1.500;140;;  ;https://belbex.com/detalles/calle-madrid/fu5298/alquiler/;Calle MadridGetafe, Madrid, 28903;Planta Baja;
Calle Cristobal Bordiu, 39;1.500;63;;  ;https://belbex.com/detalles/calle-cristobal-bordiu-39/yd5615/alquiler/;Calle Cristóbal Bordiú, 39Chamberí, Madrid, 28003;Planta Baja;
Calle Atocha, 109;4.500;180;;  ;https://belbex.com/detalles/calle-atocha-109/sj0978/alquiler/;Calle Atocha, 109Centro, Madrid, 28012;Planta Baja;
