Titulo;Precio;m2;Telefono;Descripcion;Link;Direccion;Observaciones;
Local Calle de Vicenta Villegas, Latina;780;130;914879156; Oficina de TECNOCASA trabajando sin parar desde 1998 unicamente en MADRID el barrio de LUCERO vende: Local antiguo almacen con entrada de garaje y almacen al fondo con un bano. Totalmente diafano, dispone de un tragaluz en el techo y esta listo para desempenar el uso convenido. Tiene de entrada ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/lucero/152665202/d;Calle de Vicenta Villegas, Latina;1 baño;
Local Arroyo de la Media Legua, Moratalaz;700;60;910758837; Se alquila estupendo local comercial con 2 estancias y un aseo. La estancia principal cuenta con dos aires acondicionados de frio/calor . Doble escaparate con cristal semi blindado y dos puertas de acceso ambas con cierre manual. Finca con portero. Excelente comunicacion con el metro Estrella y V... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/ascensor/158827407/d;Arroyo de la Media Legua, Moratalaz;1 baño;
Local Glorieta de Ruiz Gimenez, Chamberi;6.000;260;912789471; LOCAL EN ALQUILER EN ZONA SAN BERNARDO 4 MESES DE CARENCIA, PAGO AL 5º MES DE ALQUILER. El local se encuentra muy bien situado en la mejor ubicacion de la Glorieta Ruiz Jimenez y dos pasos de la boca de metro. Local muy amplio y luminoso. Con gran escaparate. Ocho metros de fachada con una ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/aire-acondicionado-calefaccion/158863113/d;Glorieta de Ruiz Giménez, Chamberí;2 baños;
Local Chamberi;395.000;80;912789471; CALLE MELENDEZ VALDES  PRINCESA Local a pie de calle en magnifica zona. Escaparate de 4 metros. Diafano. Excelente ubicacion. Mucho paso peatonal y de trafico. Ubicado al lado de colegios, universidades, METRO MONCLOA. En el barrio de Argüelles, calle Princesa. Distribuido en dos estancias, la pr... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/calefaccion-salida-de-humos/159128134/d;Chamberí;2 baños;
Local Doctor Garcia Tapia, Moratalaz;650;55;910758837; Se alquila amplio local de uso comercial con estancia principal diafana y un aseo. Cuenta con aire acondicionado y calefaccion central. Escaparate con cierre metalico. Excelente comunicacion con el metro Vinateros y Estrella linea 9, lineas de autobuses 8, 20, 30, 32, 71 y 113. Cercano a centro c... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/aire-acondicionado-ascensor/159412960/d;Doctor Garcia Tapia, Moratalaz;1 baño;
Nave industrialCalle de Alejandrina Moran, Latina;1.200;300;914879156; Oficina de TECNOCASA trabajando sin parar desde 1998 unicamente en MADRID el barrio de LUCERO vende: Local en planta calle destinado a almacen con despachos y salida de emergencia por portal de finca a la que pertenece, tambien dispone de aseo. Antiguo uso de almacen y oficinas para empresa de t... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/lucero/152665992/d;Nave industrialCalle de Alejandrina Morán, Latina;1 baño;
Nave industrialCamino de las Hormigueras, Villa de Vallecas;Aconsultar;3740;916353152; Nave logistica preparada para frio negativo/ positivo ubicada en el Poligono Industrial Vallecas. Activo de alta representatividad con instalaciones de frio industrial en perfecto estado e idonea ubicacion para distribucion y reparto al centro de Madrid. El espacio cuenta con una superficie total... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/ensanche-de-vallecas---la-gavia/159330724/d;Nave industrialCamino de las Hormigueras, Villa de Vallecas;;
Local Calle de Sanchez Pacheco, Chamartin;1.700;471;912667298; Se alquila estupendo local distribuido en tres plantas amplias en Ciudad Jardin. El inmueble se distribuye en una planta baja de 145 m2 dividido en dos ambientes con banos y trastero y amplios ventanales a la calle, una entreplanta de 154 m2 con despacho, zonas diafanas, banos y pequeno office y ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/ciudad-jardin/158811187/d;Calle de Sánchez Pacheco, Chamartín;;
Nave industrialTravesia de Opanel, 1, Carabanchel;800;119;916350608; Urbanissimo Real Estate gestiona amplio local comercial de naturaleza industrial, ubicado en la Travesia de Opanel, muy cerca de Plaza Eliptica y perfectamente comunicado mediante transporte publico gracias a las paradas de autobus urbano que hay en las inmediaciones y la propia estacion de metr... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/opanel/158640279/d;Nave industrialTravesía de Opañel, 1, Carabanchel;;
Local Centro;1.600;135;865565839; IMPORTANTE CONDICIONES DE ALQUILER: CONTRATO MINIMO UN AÑO PRECIO 1.600€/MES HASTA DICIEMBRE. A PARTIR DE ENERO, 2.000€/MES HASTA DICIEMBRE 2.022. 2 MESES FIANZA. IMPRESCINDIBLE AVAL BANCARIO. COMUNIDAD 179€/MES INCLUIDA EL AGUA Y LA CALEFACCION. PAGO APARTE DE LUZ E IMPUESTO DE BASURAS(220... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/calefaccion/159515520/d;Centro;1 baño;
